Date,Industrial Production,Exchange Rate,Reserves,CPI
Dec 1959,32.5,4.2,4811470000,24.62
Jan 1960,31.19,4.2,4724160000,24.62
Feb 1960,31.04,4.2,4806360000,24.48
Mar 1960,32.2,4.2,4966460000,24.48
Apr 1960,34.29,4.2,5236120000,24.62
May 1960,33.73,4.2,5417090000,24.69
Jun 1960,34.4,4.2,5843770000,24.69
Jul 1960,32.35,4.2,6124730000,24.69
Aug 1960,31.15,4.2,6358680000,24.69
Sep 1960,34.66,4.2,6643270000,24.62
Oct 1960,35.89,4.2,6878950000,24.69
Nov 1960,37.27,4.2,6909720000,24.76
Dec 1960,36.04,4.2,7053740000,24.76
Jan 1961,33.47,4.2,6987750000,24.97
Feb 1961,34.81,4.2,7057510000,24.97
Mar 1961,36.23,4,7446150000,24.97
Apr 1961,36.97,4,7111600000,24.97
May 1961,36.19,4,7159220000,25.18
Jun 1961,35.55,4,7299590000,25.32
Jul 1961,33.95,4,7186650000,25.32
Aug 1961,32.95,4,7108430000,25.32
Sep 1961,36.68,4,7135830000,25.32
Oct 1961,36.75,4,6908700000,25.32
Nov 1961,38.58,4,6791230000,25.46
Dec 1961,37.61,4,7166990000,25.46
Jan 1962,33.95,4,6460490000,25.74
Feb 1962,35.85,4,6444200000,25.81
Mar 1962,35.96,4,6649120000,25.88
Apr 1962,37.86,4,6552620000,25.95
May 1962,37.83,4,6589710000,25.95
Jun 1962,38.61,4,6831720000,25.95
Jul 1962,34.99,4,6738210000,26.02
Aug 1962,34.47,4,6781260000,25.88
Sep 1962,39.06,4,6999950000,25.88
Oct 1962,38.58,4,7048550000,25.95
Nov 1962,41.04,4,6982580000,26.02
Dec 1962,39.58,4,6960270000,26.16
Jan 1963,34.47,4,6791490000,26.51
Feb 1963,35.44,4,6815370000,26.71
Mar 1963,37.83,4,6967070000,26.71
Apr 1963,38.94,4,6976700000,26.78
May 1963,38.46,4,7219190000,26.71
Jun 1963,41.11,4,7230790000,26.58
Jul 1963,35.89,4,7294700000,26.58
Aug 1963,35.89,4,7351000000,26.51
Sep 1963,40.03,4,7429250000,26.58
Oct 1963,40.77,4,7461930000,26.78
Nov 1963,43.71,4,7616070000,26.85
Dec 1963,40.36,4,7673530000,27.06
Jan 1964,37.75,4,7590800000,27.2
Feb 1964,39.99,4,7804890000,27.27
Mar 1964,40.52,4,7783770000,27.27
Apr 1964,41.97,4,7633840000,27.27
May 1964,44.13,4,7577900000,27.27
Jun 1964,42.08,4,7882480000,27.2
Jul 1964,39.32,4,7765880000,27.27
Aug 1964,38.17,4,7739110000,27.27
Sep 1964,42.75,4,7781940000,27.27
Oct 1964,44.57,4,7712080000,27.34
Nov 1964,46.48,4,7596740000,27.48
Dec 1964,43.5,4,7905570000,27.69
Jan 1965,42.33,4,7501140000,27.76
Feb 1965,43.08,4,7598750000,27.76
Mar 1965,42.6,4,7764980000,27.9
Apr 1965,45.43,4,7724090000,27.97
May 1965,45.47,4,7550790000,28.04
Jun 1965,45.13,4,7449140000,28.25
Jul 1965,41,4,7348160000,28.32
Aug 1965,39.66,4,7261970000,28.32
Sep 1965,45.2,4,7353730000,28.32
Oct 1965,46.29,4,7401570000,28.46
Nov 1965,48.15,4,7429890000,28.6
Dec 1965,44.5,4,7424050000,28.74
Jan 1966,42.56,4,7262830000,28.88
Feb 1966,43.91,4,7212930000,28.95
Mar 1966,45.2,4,7154140000,29.02
Apr 1966,47.41,4,7162730000,29.23
May 1966,46.62,4,7177080000,29.23
Jun 1966,46.73,4,7412700000,29.23
Jul 1966,42.71,4,7670010000,29.23
Aug 1966,39.39,4,7664590000,29.16
Sep 1966,45.28,4,7685180000,29.16
Oct 1966,46.55,4,7864420000,29.23
Nov 1966,47.26,4,7909080000,29.51
Dec 1966,43.94,4,8054140000,29.58
Jan 1967,40.18,4,7789910000,29.65
Feb 1967,41.7,4,7974810000,29.65
Mar 1967,42.71,4,8049000000,29.72
Apr 1967,44.2,4,8008330000,29.72
May 1967,44.05,4,7859890000,29.79
Jun 1967,43.34,4,7809310000,29.79
Jul 1967,41.52,4,7844130000,29.79
Aug 1967,38.28,4,7895510000,29.65
Sep 1967,45.32,4,8012650000,29.65
Oct 1967,46.66,4,8063380000,29.72
Nov 1967,48.86,4,8218520000,29.79
Dec 1967,49.27,4,8153290000,29.79
Jan 1968,42.19,4,7908190000,30.07
Feb 1968,44.57,4,8231100000,30.14
Mar 1968,47.11,4,8559870000,30.14
Apr 1968,48.79,4,8540490000,30.14
May 1968,49.2,4,8431020000,30.14
Jun 1968,52.74,4,8889420000,30.14
Jul 1968,44.61,4,8835630000,30.14
Aug 1968,45.62,4,8957490000,30.07
Sep 1968,51.73,4,9216150000,30.07
Oct 1968,52.29,4,9073580000,30.14
Nov 1968,57.62,4,10893880000,30.35
Dec 1968,54.26,4,9949880000,30.42
Jan 1969,49.56,4,8577030000,30.49
Feb 1969,52.55,4,8391610000,30.63
Mar 1969,54.37,4,8110110000,30.7
Apr 1969,56.13,4,8818500000,30.7
May 1969,57.43,4,11569940000,30.77
Jun 1969,57.92,4,10087200000,30.77
Jul 1969,50.8,4,10103250000,30.77
Aug 1969,50.61,4,10701240000,30.7
Sep 1969,56.42,4,12296860000,30.7
Oct 1969,58.7,4,10691550000,30.77
Nov 1969,64.22,3.66,8781940000,30.84
Dec 1969,59.22,3.66,7033720000,31.05
