Date,Industrial Production,Exchange Rate,Reserves,CPI,Exchange Rate Growth,US CPI,Real Exchange Rate,Real Exchange Rate Growth,Real Exchange Rate Index,Monthly Inflation Rate,Monthly Industrial Production Growth,Growth in Industrial Production,Reserves Index,Country
1959-12-01,32.5,4.2,4811470000,24.62,,13.48,2.2995938261575954,,1.715142486258744,,,,6.243455944075726,Germany
1960-01-01,31.19,4.2,4724160000,24.62,0.0,13.44,2.2927701056051992,-0.2967359050444984,1.7100530426793414,0.0,-4.030769230769227,,6.130160810056965,Germany
1960-02-01,31.04,4.2,4806360000,24.48,0.0,13.48,2.312745098039216,0.871216542172415,1.7249513076670866,-0.5686433793663737,-0.4809233728759299,,6.236825109866175,Germany
1960-03-01,32.2,4.2,4966460000,24.48,0.0,13.48,2.312745098039216,0.0,1.7249513076670866,0.0,3.7371134020618646,,6.444573946842509,Germany
1960-04-01,34.29,4.2,5236120000,24.62,0.0,13.53,2.3081234768480905,-0.199832709408565,1.7215042907329972,0.5718954248365993,6.490683229813654,,6.794489945462362,Germany
1960-05-01,33.73,4.2,5417090000,24.69,0.0,13.53,2.301579586877278,-0.28351559335761944,1.7166235576284485,0.2843216896831757,-1.6331291921843127,,7.029320095541109,Germany
1960-06-01,34.4,4.2,5843770000,24.69,0.0,13.57,2.3083839611178614,0.2956393200295615,1.7216985718416886,0.0,1.9863622887637211,,7.5829882639424975,Germany
1960-07-01,32.35,4.2,6124730000,24.69,0.0,13.57,2.3083839611178614,0.0,1.7216985718416886,0.0,-5.959302325581383,,7.947567359738068,Germany
1960-08-01,31.15,4.2,6358680000,24.69,0.0,13.57,2.3083839611178614,0.0,1.7216985718416886,0.0,-3.7094281298299947,,8.25114537604421,Germany
1960-09-01,34.66,4.2,6643270000,24.62,0.0,13.57,2.3149471974004876,0.28432168968319793,1.7265937343124005,-0.28351559335763055,11.268057784911711,,8.620434829605077,Germany
1960-10-01,35.89,4.2,6878950000,24.69,0.0,13.67,2.3253948967193194,0.4513148002064149,1.7343861073747888,0.2843216896831757,3.5487593768032344,,8.926257727160248,Germany
1960-11-01,37.27,4.2,6909720000,24.76,0.0,13.67,2.3188206785137315,-0.2827140549273133,1.7294827540825337,0.28351559335764165,3.845082195597671,,8.966185470531652,Germany
1960-12-01,36.04,4.2,7053740000,24.76,0.0,13.67,2.3188206785137315,0.0,1.7294827540825337,0.0,-3.3002414810839875,10.89230769230769,9.153068590465017,Germany
1961-01-01,33.47,4.2,6987750000,24.97,0.0,13.67,2.2993191830196236,-0.8410092110532452,1.714937644817122,0.8481421647818843,-7.130965593784689,7.31003526771401,9.067438698197257,Germany
1961-02-01,34.81,4.2,7057510000,24.97,0.0,13.67,2.2993191830196236,0.0,1.714937644817122,0.0,4.003585300268897,12.145618556701043,9.157960614920986,Germany
1961-03-01,36.23,4.0,7446150000,24.97,-4.761904761904765,13.67,2.1898277933520225,-4.761904761904756,1.6332739474448783,0.0,4.0792875610456525,12.515527950310545,9.662267348228186,Germany
1961-04-01,36.97,4.0,7111600000,24.97,0.0,13.67,2.1898277933520225,0.0,1.6332739474448783,0.0,2.0425062103229363,7.815689705453477,9.228148838481573,Germany
1961-05-01,36.19,4.0,7159220000,25.18,0.0,13.67,2.1715647339158064,-0.8339952343129453,1.619652520559913,0.8410092110532563,-2.1098187719772787,7.293210791580207,9.289941465694646,Germany
1961-06-01,35.55,4.0,7299590000,25.32,0.0,13.67,2.1595576619273302,-0.5529225908372903,1.6106970958806717,0.5559968228753043,-1.7684443216358092,3.3430232558139483,9.472088275478331,Germany
1961-07-01,33.95,4.0,7186650000,25.32,0.0,13.76,2.1737756714060033,0.6583760058522348,1.6213015390869088,0.0,-4.500703234880432,4.945904173106652,9.325535160874288,Germany
1961-08-01,32.95,4.0,7108430000,25.32,0.0,13.71,2.165876777251185,-0.3633720930232509,1.6154101817501105,0.0,-2.945508100147276,5.778491171749622,9.224035385557057,Germany
1961-09-01,36.68,4.0,7135830000,25.32,0.0,13.76,2.1737756714060033,0.3646973012399579,1.6213015390869088,0.0,11.320182094081922,5.828043854587439,9.259590152160127,Germany
1961-10-01,36.75,4.0,6908700000,25.32,0.0,13.76,2.1737756714060033,0.0,1.6213015390869088,0.0,0.1908396946564972,2.396210643633312,8.964861898928179,Germany
1961-11-01,38.58,4.0,6791230000,25.46,0.0,13.76,2.161822466614297,-0.5498821681068411,1.6123862910322282,0.5529225908372792,4.979591836734687,3.5148913335121934,8.81243056926166,Germany
1961-12-01,37.61,4.0,7166990000,25.46,0.0,13.76,2.161822466614297,0.0,1.6123862910322282,0.0,-2.5142560912389866,4.356270810210883,9.300023967026977,Germany
1962-01-01,33.95,4.0,6460490000,25.74,0.0,13.76,2.1383061383061386,-1.0878010878010769,1.5948467354188243,1.09976433621366,-9.73145440042541,1.4341201075590115,8.38325598873978,Germany
1962-02-01,35.85,4.0,6444200000,25.81,0.0,13.8,2.138705927934909,0.018696557130359892,1.5951449168498537,0.2719502719502831,5.596465390279826,2.987647227808088,8.3621177716608,Germany
1962-03-01,35.96,4.0,6649120000,25.88,0.0,13.8,2.132921174652241,-0.2704791344667834,1.5908303826852672,0.27121270825261057,0.30683403068341164,-0.7452387524151116,8.628025902036757,Germany
1962-04-01,37.86,4.0,6552620000,25.95,0.0,13.85,2.1348747591522157,0.0915919689480793,1.592287455555393,0.2704791344667612,5.283648498331472,2.407357316743308,8.502805647394556,Germany
1962-05-01,37.83,4.0,6589710000,25.95,0.0,13.85,2.1348747591522157,0.0,1.592287455555393,0.0,-0.07923930269413404,4.531638574191765,8.55093434423061,Germany
1962-06-01,38.61,4.0,6831720000,25.95,0.0,13.85,2.1348747591522157,0.0,1.592287455555393,0.0,2.0618556701030855,8.607594936708862,8.864971171442619,Germany
1962-07-01,34.99,4.0,6738210000,26.02,0.0,13.9,2.1368178324365874,0.09101579734556164,1.5937366886791002,0.2697495183044296,-9.375809375809375,3.0633284241531555,8.7436307982655,Germany
1962-08-01,34.47,4.0,6781260000,25.88,0.0,13.9,2.1483771251931993,0.5409582689335224,1.6023581390815373,-0.5380476556494984,-1.4861388968276712,4.613050075872516,8.79949330564733,Germany
1962-09-01,39.06,4.0,6999950000,25.88,0.0,13.94,2.1545595054095825,0.2877697841726645,1.6069692416400452,0.0,13.315926892950403,6.488549618320616,9.083269652670156,Germany
1962-10-01,38.58,4.0,7048550000,25.95,0.0,13.94,2.148747591522158,-0.2697495183044185,1.6026344498514211,0.2704791344667612,-1.2288786482335001,4.979591836734687,9.146333946717938,Germany
1962-11-01,41.04,4.0,6982580000,26.02,0.0,13.94,2.142966948501153,-0.26902382782474366,1.5983229813083926,0.2697495183044296,6.3763608087091805,6.3763608087091805,9.06073000683456,Germany
1962-12-01,39.58,4.0,6960270000,26.16,0.0,13.94,2.1314984709480123,-0.5351681957186605,1.5897692650475679,0.5380476556495095,-3.557504873294348,5.2379686253655855,9.03178012205666,Germany
1963-01-01,34.47,4.0,6791490000,26.51,0.0,13.94,2.1033572236891738,-1.320256506978501,1.568780232879833,1.33792048929664,-12.910560889338052,1.5316642120765778,8.812767950258623,Germany
1963-02-01,35.44,4.0,6815370000,26.71,0.0,13.94,2.087607637588918,-0.7487832272557116,1.5570334696235257,0.7544322897020006,2.814041195242245,-1.1436541143654222,8.843755097210495,Germany
1963-03-01,37.83,4.0,6967070000,26.71,0.0,13.99,2.095095469861475,0.35868005738881603,1.5626182381659346,0.0,6.743792325056441,5.200222469410454,9.040603932746471,Germany
1963-04-01,38.94,4.0,6976700000,26.78,0.0,13.99,2.089619118745332,-0.2613890963405696,1.5585337244739397,0.2620741295394913,2.9341792228390062,2.852614896988892,9.05310000582631,Germany
1963-05-01,38.46,4.0,7219190000,26.71,0.0,13.99,2.095095469861475,0.2620741295395135,1.5626182381659346,-0.2613890963405585,-1.2326656394452962,1.6653449643140528,9.367759690263483,Germany
1963-06-01,41.11,4.0,7230790000,26.58,0.0,14.03,2.1113619262603462,0.7764064517759905,1.5747505069836831,-0.4867090977162203,6.890275611024443,6.475006475006473,9.382812073204928,Germany
1963-07-01,35.89,4.0,7294700000,26.58,0.0,14.08,2.1188863807373965,0.3563791874554578,1.580362590044922,0.0,-12.697640476769646,2.5721634752786438,9.46574291749698,Germany
1963-08-01,35.89,4.0,7351000000,26.51,0.0,14.08,2.12448132780083,0.26405130139570687,1.5845355580307066,-0.26335590669674946,0.0,4.119524223962867,9.538798879531758,Germany
1963-09-01,40.03,4.0,7429250000,26.58,0.0,14.08,2.1188863807373965,-0.26335590669676057,1.580362590044922,0.26405130139568467,11.53524658679299,2.4833589349718244,9.640337583425563,Germany
1963-10-01,40.77,4.0,7461930000,26.78,0.0,14.12,2.1090365944734875,-0.4648567451965624,1.5730161679465353,0.7524454477050524,1.848613539845112,5.676516329704517,9.682743779505428,Germany
1963-11-01,43.71,4.0,7616070000,26.85,0.0,14.12,2.1035381750465545,-0.26070763500931626,1.5689151946967677,0.2613890963405474,7.211184694628403,6.5058479532163815,9.882758805935984,Germany
1963-12-01,40.36,4.0,7673530000,27.06,0.0,14.17,2.0946045824094606,-0.4246936301451343,1.5622521118025112,0.7821229050279266,-7.664150080073218,1.9706922688226491,9.957320006264906,Germany
1964-01-01,37.75,4.0,7590800000,27.2,0.0,14.17,2.083823529411765,-0.5147058823529393,1.5542111082858807,0.5173688100517326,-6.466798810703667,9.515520742674788,9.849967968269576,Germany
1964-02-01,39.99,4.0,7804890000,27.27,0.0,14.17,2.0784745141180787,-0.25669233590025486,1.5502215674872004,0.2573529411764808,5.933774834437089,12.838600451467276,10.127775266884589,Germany
1964-03-01,40.52,4.0,7783770000,27.27,0.0,14.17,2.0784745141180787,0.0,1.5502215674872004,0.0,1.3253313328332128,7.110758657150429,10.100369548977405,Germany
1964-04-01,41.97,4.0,7633840000,27.27,0.0,14.17,2.0784745141180787,0.0,1.5502215674872004,0.0,3.5784797630799448,7.781201848998465,9.905817499459218,Germany
1964-05-01,44.13,4.0,7577900000,27.27,0.0,14.17,2.0784745141180787,0.0,1.5502215674872004,0.0,5.146533238027162,14.742589703588148,9.833228680343312,Germany
1964-06-01,42.08,4.0,7882480000,27.2,0.0,14.22,2.0911764705882354,0.6111191830295848,1.5596952688655767,-0.25669233590025486,-4.645365964196701,2.359523230357574,10.228457542093794,Germany
1964-07-01,39.32,4.0,7765880000,27.27,0.0,14.26,2.0916758342500916,0.023879556263173285,1.5600677171748396,0.2573529411764808,-6.558935361216722,9.55697966007245,10.077155141147882,Germany
1964-08-01,38.17,4.0,7739110000,27.27,0.0,14.22,2.0858085808580857,-0.28050490883591017,1.5556916506469998,0.0,-2.924720244150558,6.352744497074392,10.042417874652838,Germany
1964-09-01,42.75,4.0,7781940000,27.27,0.0,14.26,2.0916758342500916,0.2812939521800395,1.5600677171748396,0.0,11.99895205658894,6.794903822133391,10.09799490580647,Germany
1964-10-01,44.57,4.0,7712080000,27.34,0.0,14.26,2.0863204096561816,-0.2560351133869654,1.5560733960262574,0.25669233590026597,4.257309941520471,9.320578857002682,10.007343227160831,Germany
1964-11-01,46.48,4.0,7596740000,27.48,0.0,14.31,2.0829694323144103,-0.16061662083455275,1.5535740835198546,0.512070226773953,4.285393762620582,6.337222603523207,9.857675826430972,Germany
1964-12-01,43.5,4.0,7905570000,27.69,0.0,14.31,2.0671722643553627,-0.7583965330444253,1.5417918315321635,0.7641921397379958,-6.411359724612731,7.779980178394452,10.258419569862586,Germany
1965-01-01,42.33,4.0,7501140000,27.76,0.0,14.31,2.061959654178674,-0.2521613832852987,1.5379040279223921,0.2527988443481455,-2.6896551724137963,12.13245033112582,9.733623429085952,Germany
1965-02-01,43.08,4.0,7598750000,27.76,0.0,14.31,2.061959654178674,0.0,1.5379040279223921,0.0,1.7717930545712246,7.726931732933218,9.860284041061343,Germany
1965-03-01,42.6,4.0,7764980000,27.9,0.0,14.35,2.057347670250896,-0.22366994031293164,1.534464198901068,0.5043227665705974,-1.114206128133699,5.13326752221126,10.0759872838507,Germany
1965-04-01,45.43,4.0,7724090000,27.97,0.0,14.4,2.059349302824455,0.09729189686809026,1.5359571082269408,0.2508960573476715,6.643192488262906,8.243983797950927,10.022927633982103,Germany
1965-05-01,45.47,4.0,7550790000,28.04,0.0,14.4,2.0542082738944365,-0.24964336661912334,1.5321226931921372,0.25026814444046863,0.08804754567466322,3.0364831180602625,9.79805022331378,Germany
1965-06-01,45.13,4.0,7449140000,28.25,0.0,14.49,2.0516814159292034,-0.12300884955752656,1.5302380466934318,0.7489300998573478,-0.7477457664394005,7.24809885931561,9.666147229693264,Germany
1965-07-01,41.0,4.0,7348160000,28.32,0.0,14.49,2.0466101694915255,-0.24717514124292794,1.5264556786401644,0.24778761061947652,-9.15134057168181,4.272634791454721,9.535113640949541,Germany
1965-08-01,39.66,4.0,7261970000,28.32,0.0,14.49,2.0466101694915255,0.0,1.5264556786401644,0.0,-3.268292682926832,3.903589206182856,9.42327184045616,Germany
1965-09-01,45.2,4.0,7353730000,28.32,0.0,14.49,2.0466101694915255,0.0,1.5264556786401644,0.0,13.968734241048942,5.730994152046787,9.542341379999874,Germany
1965-10-01,46.29,4.0,7401570000,28.46,0.0,14.54,2.043569922698524,-0.14855036090027918,1.5241881232205616,0.4943502824858781,2.4115044247787543,3.8590980480143644,9.604419483441145,Germany
1965-11-01,48.15,4.0,7429890000,28.6,0.0,14.54,2.0335664335664334,-0.4895104895104807,1.516727062477524,0.49191848208012257,4.0181464679196255,3.5929432013769302,9.64116805972578,Germany
1965-12-01,44.5,4.0,7424050000,28.74,0.0,14.58,2.0292275574112737,-0.2133628920865993,1.5134909297519616,0.4895104895104696,-7.580477673935615,2.298850574712641,9.633589963486292,Germany
1966-01-01,42.56,4.0,7262830000,28.88,0.0,14.58,2.0193905817174516,-0.4847645429363001,1.5061540623639673,0.4871259568545616,-4.359550561797743,0.5433498700685213,9.424387792984577,Germany
1966-02-01,43.91,4.0,7212930000,28.95,0.0,14.68,2.0283246977547496,0.44241644574274375,1.5128175356340878,0.2423822714681556,3.17199248120299,1.9266480965645316,9.359636593951977,Germany
1966-03-01,45.2,4.0,7154140000,29.02,0.0,14.72,2.0289455547898,0.030609351438548593,1.513280599270194,0.24179620034543436,2.937827374174473,6.103286384976525,9.283349560061668,Germany
1966-04-01,47.41,4.0,7162730000,29.23,0.0,14.81,2.0266849127608624,-0.11141955108656676,1.511594508819807,0.7236388697450025,4.889380530973431,4.358353510895885,9.294496109153652,Germany
1966-05-01,46.62,4.0,7177080000,29.23,0.0,14.81,2.0266849127608624,0.0,1.511594508819807,0.0,-1.6663151233916929,2.529140092368598,9.313116944947595,Germany
1966-06-01,46.73,4.0,7412700000,29.23,0.0,14.86,2.03352719808416,0.33760972316001503,1.5166977988563355,0.0,0.2359502359502441,3.545313538666073,9.61886198534962,Germany
1966-07-01,42.71,4.0,7670010000,29.23,0.0,14.9,2.0390010263427985,0.2691790040376896,1.5207804308855586,0.0,-8.602610742563655,4.170731707317077,9.952752386613708,Germany
1966-08-01,39.39,4.0,7664590000,29.16,0.0,15.0,2.05761316872428,0.9128069157897656,1.5346622198326592,-0.23947998631542733,-7.773355186139074,-0.6807866868381196,9.94571929044624,Germany
1966-09-01,45.28,4.0,7685180000,29.16,0.0,15.0,2.05761316872428,0.0,1.5346622198326592,0.0,14.953033764914947,0.1769911504424737,9.972437270167307,Germany
1966-10-01,46.55,4.0,7864420000,29.23,0.0,15.09,2.0650017105713308,0.3590831337666689,1.5401729330243676,0.24005486968450285,2.804770318021199,0.5616763879887632,10.205022538997026,Germany
1966-11-01,47.26,4.0,7909080000,29.51,0.0,15.09,2.0454083361572346,-0.948830904778053,1.5255592962488058,0.9579199452617315,1.525241675617628,-1.8483904465212864,10.262974213321591,Germany
1966-12-01,43.94,4.0,8054140000,29.58,0.0,15.09,2.0405679513184585,-0.23664638269099703,1.5219491153584268,0.23720772619448827,-7.024968260685571,-1.2584269662921366,10.451206857242811,Germany
1967-01-01,40.18,4.0,7789910000,29.65,0.0,15.09,2.0357504215851603,-0.23608768971331573,1.5183559808533649,0.23664638269100813,-8.557123350022755,-5.592105263157898,10.108336930982619,Germany
1967-02-01,41.7,4.0,7974810000,29.65,0.0,15.09,2.0357504215851603,0.0,1.5183559808533649,0.0,3.782976605276267,-5.033022090639927,10.348266724592388,Germany
1967-03-01,42.71,4.0,8049000000,29.72,0.0,15.13,2.0363391655450878,0.028920242564356435,1.5187950930860181,0.23608768971332683,2.4220623501199023,-5.508849557522133,10.444537094456688,Germany
1967-04-01,44.2,4.0,8008330000,29.72,0.0,15.18,2.0430686406460294,0.33046926635820206,1.523814244087624,0.0,3.4886443455865113,-6.770723476059892,10.39176292081629,Germany
1967-05-01,44.05,4.0,7859890000,29.79,0.0,15.23,2.0449815374286673,0.09362861063899608,1.5252409701930822,0.23553162853298115,-0.33936651583711397,-5.512655512655518,10.199144323934547,Germany
1967-06-01,43.34,4.0,7809310000,29.79,0.0,15.27,2.0503524672708964,0.26263952724885353,1.5292468558666032,0.0,-1.6118047673098657,-7.254440402311135,10.133510743832968,Germany
1967-07-01,41.52,4.0,7844130000,29.79,0.0,15.32,2.0570661295736827,0.3274394237066325,1.5342542129585046,0.0,-4.199353945546836,-2.7862327323811664,10.178693845041686,Germany
1967-08-01,38.28,4.0,7895510000,29.65,0.0,15.36,2.0721753794266444,0.7345048190596115,1.54552338408931,-0.46995636119503414,-7.8034682080924895,-2.817974105102816,10.245365520518538,Germany
1967-09-01,45.32,4.0,8012650000,29.65,0.0,15.41,2.078920741989882,0.32552083333332593,1.5505543846885588,0.0,18.39080459770115,0.08833922261484162,10.39736863584276,Germany
1967-10-01,46.66,4.0,8063380000,29.72,0.0,15.45,2.079407806191117,0.02342870468303726,1.5509176594962975,0.23608768971332683,2.956751985878192,0.236305048335117,10.463196858827203,Germany
1967-11-01,48.86,4.0,8218520000,29.79,0.0,15.5,2.0812353138637127,0.08788596768534163,1.5522806984893485,0.23553162853298115,4.714959279897135,3.3855268726195487,10.664509504476852,Germany
1967-12-01,49.27,4.0,8153290000,29.79,0.0,15.55,2.087948976166499,0.3225806451613078,1.5572880555812498,0.0,0.8391322144903901,12.130177514792905,10.579865802815599,Germany
1968-01-01,42.19,4.0,7908190000,30.07,0.0,15.64,2.08047888260725,-0.3577718442605127,1.5517165173843481,0.9399127223900683,-14.369799066368994,5.002488800398197,10.261819332216602,Germany
1968-02-01,44.57,4.0,8231100000,30.14,0.0,15.68,2.0809555408095552,0.022910984883828256,1.552072030921086,0.2327901563019541,5.641147191277551,6.882494004796147,10.680833554253006,Germany
1968-03-01,47.11,4.0,8559870000,30.14,0.0,15.73,2.0875912408759123,0.3188775510204023,1.5570212402033599,0.0,5.698900605788637,10.302036993678287,11.107451824913277,Germany
1968-04-01,48.79,4.0,8540490000,30.14,0.0,15.78,2.0942269409422694,0.31786395422759295,1.5619704494856337,0.0,3.566121842496295,10.384615384615369,11.08230396444731,Germany
1968-05-01,49.2,4.0,8431020000,30.14,0.0,15.82,2.099535500995355,0.25348542458807355,1.5659298169114528,0.0,0.8403361344537785,11.691259931895592,10.94025358853351,Germany
1968-06-01,52.74,4.0,8889420000,30.14,0.0,15.91,2.1114797611147975,0.568900126422256,1.5748383936195458,0.0,7.195121951219519,21.6889709275496,11.535082238564438,Germany
1968-07-01,44.61,4.0,8835630000,30.14,0.0,16.01,2.1247511612475116,0.6285355122564562,1.5847368121840937,0.0,-15.415244596131972,7.4421965317919,11.465283300769578,Germany
1968-08-01,45.62,4.0,8957490000,30.07,0.0,16.05,2.1350182906551383,0.4832156157805523,1.59239450792959,-0.2322495023225013,2.264066352835692,19.174503657262278,11.623411178807906,Germany
1968-09-01,51.73,4.0,9216150000,30.07,0.0,16.1,2.1416694379780514,0.31152647975076775,1.5973552384838878,0.0,13.393248575186313,14.143865842894954,11.959053366017766,Germany
1968-10-01,52.29,4.0,9073580000,30.14,0.0,16.19,2.148639681486397,0.3254584197142085,1.6025539656002796,0.2327901563019541,1.0825439783491264,12.066009429918555,11.774051793952083,Germany
1968-11-01,57.62,4.0,10893880000,30.35,0.0,16.23,2.139044481054366,-0.4465709404283702,1.595397425285226,0.6967485069674817,10.193153566647538,17.928776094965194,14.136108058461899,Germany
1968-12-01,54.26,4.0,9949880000,30.42,0.0,16.28,2.140696909927679,0.07725079529430356,1.5966298824843639,0.23064250411861664,-5.8313085734120085,10.127866856099033,12.911155515640788,Germany
1969-01-01,49.56,4.0,8577030000,30.49,0.0,16.33,2.1423417513938996,0.07683672819782661,1.5978566806474936,0.2301117685733045,-8.66199778842609,17.46859445366202,11.129718970712863,Germany
1969-02-01,52.55,4.0,8391610000,30.63,0.0,16.42,2.1443029709435195,0.09154559716459953,1.5993194480876267,0.45916693998031555,6.033091202582708,17.90442001346195,10.889114415109166,Germany
1969-03-01,54.37,4.0,8110110000,30.7,0.0,16.56,2.1576547231270355,0.6226616464389378,1.6092777968949072,0.2285341168788868,3.463368220742158,15.410740819358937,10.523834604935287,Germany
1969-04-01,56.13,4.0,8818500000,30.7,0.0,16.65,2.1693811074918568,0.5434782608695787,1.618023871878032,0.0,3.237079271657173,15.044066407050627,11.443055083546565,Germany
1969-05-01,57.43,4.0,11569940000,30.77,0.0,16.69,2.1696457588560287,0.012199394714840217,1.6182212609967428,0.22801302931596545,2.316052022091575,16.72764227642276,15.013376507719991,Germany
1969-06-01,57.92,4.0,10087200000,30.77,0.0,16.78,2.181345466363341,0.5392450569203122,1.6269474391567011,0.0,0.8532126066515877,9.821767159651106,13.089344586806249,Germany
1969-07-01,50.8,4.0,10103250000,30.77,0.0,16.88,2.1943451413714654,0.5959475566149841,1.6366431926677658,0.0,-12.292817679558022,13.87581259807218,13.110171375272648,Germany
1969-08-01,50.61,4.0,10701240000,30.7,0.0,16.97,2.211074918566775,0.7624040940457322,1.6491210273735857,-0.22749431264218467,-0.3740157480314865,10.938185006576063,13.88613469209637,Germany
1969-09-01,56.42,4.0,12296860000,30.7,0.0,17.01,2.2162866449511403,0.23571007660578847,1.65300817181053,0.0,11.479944674965425,9.066305818673893,15.956641870461008,Germany
1969-10-01,58.7,4.0,10691550000,30.77,0.0,17.11,2.2242443938901526,0.3590577490118818,1.6589434257432154,0.22801302931596545,4.041120170152435,12.25855804169058,13.873560761863388,Germany
1969-11-01,64.22,3.66,8781940000,30.84,-8.499999999999996,17.2,2.0412451361867707,-8.2274797772254,1.5224541908745821,0.22749431264219577,9.403747870528111,11.454356126345022,11.395614124896628,Germany
1969-12-01,59.22,3.66,7033720000,31.05,0.0,17.29,2.038048309178744,-0.1566116166723086,1.5200698507531583,0.6809338521400754,-7.785736530675802,9.14117213416883,9.127090253698832,Germany
1970-01-01,54.68,3.66,7018200000,31.4,0.0,17.34,2.0211592356687897,-0.8286885759228979,1.5074732055539184,1.1272141706924144,-7.666328942924682,10.330912025827278,9.106951203418552,Germany
1970-02-01,58.04,3.66,7184100000,31.47,0.0,17.43,2.0271306005719736,0.29544257561715526,1.5119269232191455,0.22292993630572688,6.14484272128748,10.44719314938154,9.322226231865608,Germany
1970-03-01,60.64,3.66,7362270000,31.61,0.0,17.52,2.028573236317621,0.07116639378048628,1.5130029070869966,0.44486812837623013,4.479669193659541,11.532094905278644,9.553423048130902,Germany
1970-04-01,60.18,3.66,7521380000,31.75,0.0,17.66,2.035766929133858,0.3546183439398609,1.5183682929398705,0.44289781714648147,-0.7585751978891886,7.215392838054502,9.759887242080339,Germany
1970-05-01,65.44,3.66,7851030000,31.75,0.0,17.7,2.0403779527559056,0.22650056625144188,1.5218074057211615,0.0,8.740445330674639,13.947414243426781,10.187647417653409,Germany
1970-06-01,60.7,3.66,8847780000,31.82,0.0,17.79,2.0462413576367062,0.287368566832491,1.5261806018529331,0.2204724409448744,-7.243276283618572,4.799723756906071,11.481049374281524,Germany
1970-07-01,54.81,3.66,10011510000,31.82,0.0,17.89,2.0577435575109995,0.5621135469364935,1.5347594697666653,0.0,-9.703459637561785,7.893700787401592,12.991127788113316,Germany
1970-08-01,52.53,3.66,10275500000,31.82,0.0,17.89,2.0577435575109995,0.0,1.5347594697666653,0.0,-4.159824849480021,3.793716656787205,13.333686285760926,Germany
1970-09-01,59.02,3.66,11332250000,31.82,0.0,17.98,2.068095537397863,0.5030743432085094,1.5424804508890242,0.0,12.354844850561598,4.608294930875578,14.704945395534452,Germany
1970-10-01,61.23,3.66,11917240000,31.96,0.0,18.07,2.0693429286608263,0.06031593997501972,1.543410812471909,0.4399748585795171,3.7444933920704804,4.310051107325363,15.464039662510004,Germany
1970-11-01,64.01,3.66,13594870000,32.1,0.0,18.16,2.0705794392523362,0.05975377857310171,1.5443330587512667,0.43804755944931717,4.54025804344278,-0.3270009342883684,17.640964593032226,Germany
1970-12-01,60.18,3.66,13623720000,32.31,0.0,18.25,2.067316620241411,-0.15757999664592903,1.5418994987690844,0.6542056074766434,-5.983440087486336,1.6210739614994862,17.67840090750298,Germany
1971-01-01,58.37,3.66,14042440000,32.66,0.0,18.25,2.045162278015922,-1.0716472749540351,1.5253757748079957,1.0832559579077472,-3.007643735460286,6.748354059985373,18.221740026920408,Germany
