Date,Reserves,CPI
Dec 1959,21504500000,13.48
Jan 1960,21478100000,13.44
Feb 1960,21395700000,13.48
Mar 1960,21344700000,13.48
Apr 1960,21278000000,13.53
May 1960,21234300000,13.53
Jun 1960,21169800000,13.57
Jul 1960,20999400000,13.57
Aug 1960,20803400000,13.57
Sep 1960,20430000000,13.57
Oct 1960,20068200000,13.67
Nov 1960,19558200000,13.67
Dec 1960,19358800000,13.67
Jan 1961,19056200000,13.67
Feb 1961,18978000000,13.67
Mar 1961,18988200000,13.67
Apr 1961,19165100000,13.67
May 1961,19196900000,13.67
Jun 1961,19307900000,13.67
Jul 1961,19234600000,13.76
Aug 1961,19641500000,13.71
Sep 1961,19520900000,13.76
Oct 1961,19171900000,13.76
Nov 1961,18827900000,13.76
Dec 1961,18752900000,13.76
Jan 1962,18649800000,13.76
Feb 1962,18512000000,13.8
Mar 1962,18328700000,13.8
Apr 1962,18192400000,13.85
May 1962,18124500000,13.85
Jun 1962,18490300000,13.85
Jul 1962,17784500000,13.9
Aug 1962,17638600000,13.9
Sep 1962,17610300000,13.94
Oct 1962,17435700000,13.94
Nov 1962,17286200000,13.94
Dec 1962,17220400000,13.94
Jan 1963,17177900000,13.94
Feb 1963,17114300000,13.94
Mar 1963,17188500000,13.99
Apr 1963,17139900000,13.99
May 1963,17113599999,13.99
Jun 1963,17064700000,14.03
Jul 1963,16815099999,14.08
Aug 1963,16773900000,14.08
Sep 1963,16838000000,14.08
Oct 1963,16947800000,14.12
Nov 1963,16817099999,14.12
Dec 1963,16843000000,14.17
Jan 1964,16880900000,14.17
Feb 1964,16770500000,14.17
Mar 1964,16894000000,14.17
Apr 1964,16898900000,14.17
May 1964,16855500000,14.17
Jun 1964,16591200000,14.22
Jul 1964,16628599999,14.26
Aug 1964,16690400000,14.22
Sep 1964,16521000000,14.26
Oct 1964,16385500000,14.26
Nov 1964,17015200000,14.31
Dec 1964,16672400000,14.31
Jan 1965,16342900000,14.31
Feb 1965,15994900000,14.31
Mar 1965,15828900000,14.35
Apr 1965,15592300000,14.4
May 1965,15420000000,14.4
Jun 1965,15761800000,14.49
Jul 1965,15565600000,14.49
Aug 1965,15850400000,14.49
Sep 1965,15721200000,14.49
Oct 1965,15639400000,14.54
